Time,Monday,Tuesday,Wednesday,Thursday,Friday
8,"Flowe,Justin ANTH274 with:Kate,Jones 212",,,,
,,,,,
9,,"Flowe,Justin ANTH274 with:Kate,Jones 210",,,
,,,,,
10,,"Flowe,Justin ANTH274 with:Charlie,Early 307",,,
,,,,,
,,,,,
,,,,,
,,,,,
14,"Flowe,Justin GEO343/FLR with:Yolonda,Black 203",,,,
,,,,,
15,"Flowe,Justin ANTH274 with:Charlie,Early 203",,"Flowe,Justin ANTH274 with:Charlie,Early 207",,
,,,,,
16,,"Flowe,Justin GEO343/FLR with:Yolonda,Black 204",,,
,,,,,
17,,,"Flowe,Justin GEO343/FLR with:Yolonda,Black 205",,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
